"Name","Total_AA","Total_BB","Total_FX","Total_VT","Total_UB"
"Simone Biles",0.999,0.715,0.993,0.702,0
"Shilese Jones",0.239,0.035,0.182,0.005,0.192
"Konnor Mcclain",0.154,0.485,0.082,0.004,0
"Skye Blakely",0.028,0.043,0,0,0.003
"Jordan Chiles",0.019,0,0.203,0.004,0
"Leanne Wong",0.01,0,0.028,0.005,0
"Jade Carey",0.008,0,0.199,0.19,0
"Kayla Dicello",0.002,0.001,0.028,0.001,0
"Addison Fatta",0,0,0,0,0
"Alicia Zhou",0,0,0,0,0
"Amelia Disidore",0,0,0,0,0
"Annalisa Milton",0,0,0,0,0
"Ashlee Sullivan",0,0.001,0,0,0
"Brooke Pierson",0,0,0,0,0
"Charlotte Booth",0,0,0,0,0
"Chloe Cho",0,0,0,0,0
"Ciena Alipio",0,0.003,0,0,0
"Dulcy Caylor",0,0,0,0,0
"Elle Mueller",0,0,0,0,0
"Eveylynn Lowe",0,0,0,0,0
"Joscelyn Roberson",0,0.016,0.107,0.029,0
"Kaliya Lincoln",0,0,0.439,0,0
"Katelyn Jong",0,0,0,0,0
"Katelyn Rosen",0,0,0,0,0
"Kelise Woolford",0,0,0,0,0
"Lauren Little",0,0,0,0,0
"Levi Jung-Ruivivar",0,0,0,0,0
"Lexi Zeiss",0,0,0,0,0
"Madray Johnson",0,0,0,0,0
"Malea Milton",0,0,0,0,0
"Marissa Neal",0,0,0,0,0
"Michelle Pineda",0,0,0,0,0
"Myli Lew",0,0,0,0,0
"Nola Matthews",0,0,0,0,0
"Norah Christian",0,0,0,0,0
"Sunisa Lee",0,0.208,0,0,0
"Tiana Sumanasekera",0,0.012,0,0,0
"Zoe Miller",0,0,0,0,0.061
