"Name","Total_AA","Total_SR","Total_FX","Total_PB","Total_PH","Total_VT","Total_HB"
"Brody Malone",0.272,0,0.168,0.042,0.01,0.045,0.435
"Frederick Richard",0.051,0,0.235,0.025,0,0.049,0.18
"Paul Juda",0.049,0,0.393,0,0,0.221,0.044
"Khoi Young",0.03,0,0.229,0,0.115,0.449,0
"Yul Moldauer",0.028,0,0.211,0.163,0,0.075,0
"Asher Hong",0.024,0.034,0.123,0.026,0,0.296,0
"Colt Walker",0.014,0,0.038,0.208,0,0.09,0
"Shane Wiskus",0.009,0,0.15,0.068,0,0.015,0.015
"Donnell Whittenburg",0.004,0.264,0.186,0,0,0.194,0
"Cameron Bock",0.002,0,0,0.044,0,0,0
"Fred Richard",0.002,0,0.073,0,0,0,0.123
"Alex Karadzhov",0,0,0,0,0,0,0
"Alex Tapanes",0,0,0,0,0,0,0
"Anthony Koppie",0,0,0,0,0,0,0
"Asher Cohen",0,0,0,0,0,0,0
"Blake Sun",0,0,0,0.149,0,0,0
"Brandon Briones",0,0,0,0,0,0.044,0
"Brandon Nguyen",0,0,0,0,0,0.011,0
"Caden Clinton",0,0,0,0,0,0,0
"Caleb Melton",0,0,0,0,0,0,0
"Chase Davenport-Mills",0,0,0,0,0,0,0
"Cole Partridge",0,0,0,0,0,0,0
"Colin Flores",0,0,0,0,0,0,0
"Crew Bold",0,0,0,0,0,0,0
"Curran Phillips",0,0,0,0.263,0,0.204,0.047
"Dallas Hale",0,0,0.015,0.008,0,0.354,0
"Daniel Simmons",0,0,0,0,0,0.002,0
"Drake Andrews",0,0,0,0,0,0,0
"Evan Hymanson",0,0,0,0,0,0,0
"Evan Manivong",0,0,0,0,0,0.021,0
"Fuzzy Benas",0,0,0,0,0,0,0
"Garrett Braunton",0,0,0,0,0,0,0
"Garrett Schooley",0,0,0,0,0,0,0
"Ian Gunther",0,0,0,0,0,0,0
"Ian Lasic-Ellis",0,0,0.026,0,0,0,0
"Ian Sandoval",0,0,0,0,0,0,0
"Isaiah Drake",0,0,0,0,0,0.002,0
"Izaiha Mlay",0,0,0,0,0,0,0
"J.R. Chou",0,0,0,0.116,0,0,0
"Jack Freeman",0,0,0,0,0,0,0
"Jackson Harrison",0,0,0.05,0,0,0,0
"Jeremy Bischoff",0,0,0.046,0,0,0,0
"Joshua Karnes",0,0,0.033,0,0,0.032,0
"Kameron Nelson",0,0,0.001,0,0,0.037,0
"Kazuki Hayashi",0,0,0,0,0,0.043,0
"Landen Blixt",0,0,0,0,0,0.059,0
"Landon Simpson",0,0,0,0,0,0,0
"Matt Cormier",0,0,0.086,0,0,0,0
"Maxim Bereznev",0,0,0,0,0,0,0
"Michael Artlip",0,0,0,0,0,0.001,0
"Michael Jaroh",0,0,0,0,0,0,0
"Mike Fletcher",0,0,0,0,0,0.011,0
"Noah Newfeld",0,0,0,0,0,0,0
"Oliver Zavel",0,0,0,0,0,0,0
"Riley Loos",0,0,0.023,0,0,0.018,0
"Rithik Puri",0,0,0,0,0,0,0
"Ryan Swatscheno",0,0,0,0,0,0,0
"Samuel Phillips",0,0,0,0,0,0,0
"Taylor Burkhart",0,0,0.077,0,0,0.139,0
"Taylor Christopulos",0,0,0,0,0,0.012,0
"Toby Liang",0,0,0,0,0,0,0
"Vahe Petrosyan",0,0,0,0,0,0,0
"Will Fleck",0,0,0,0,0,0,0
